..-M,1
B,3
BE,1
BK,49977
BK/,16
BKG,13
BKT,1
BKW,9
BL,20065
BL/,9
BLACK,28137
BLB,2
BLG,16
BLK,87
BLU,6
BLUE,9829
BLW,24
BR,2134
BROW,1
BROWN,13528
BRW,1
BUL,1
BURGU,1
Color,0
DK/,334
DKB,80
DKG,162
DKM,3
DKP,2
DKR,46
GAY,1
GL,1387
GLB,3
GLD,1
GOLD,1055
GR,4302
GR/,5
GRAY,49
GRB,3
GREEN,2052
GREY,19979
GRT,3
GRW,12
GRY,23
GY,57503
GY/,52
GYB,19
LAVEN,37
LT/,430
LTB,55
LTG,531
LTT,17
MA,1
MAROO,3
MR,1156
NO,23
NOC,51
OR,869
ORANG,514
OTHER,2882
PK,5
PR,179
PRW,2
PURPL,209
RD,12118
RD/,9
RDG,10
RDW,24
RED,7246
SIL,2
SILV,4
SILVE,11281
SILVR,1
SIV,1
SLVR,2
TAN,834
TN,2972
TNR,4
WH,63380
WH/,54
WHB,36
WHG,22
WHIT,1
WHITE,49260
WHO,1
WHT,29
WHTE,1
WT,4
YE,1
YELLO,1522
YW,1321
