Type,Count,Size Category (1-5),
SUBN,134236,3,suburban
4DSD,118671,2,4 door sedan
VAN,53638,3,van
DELV,21069,3,delivery van
PICK,11158,3,pickup truck
2DSD,9579,2,2 door sedan
REFG,4023,3,refrigerated van
TRAC,3793,3,tractor no trailer
TRLR,2606,5,tractor trailer trailer
MCY,2080,1,motorcycle
UTIL,1707,5,utility trailer
CONV,1398,2,convertible
FLAT,734,4,flatbed trailer
TAXI,566,2,taxi
SEDN,498,2,sedan
DUMP,410,4,dump truck
BUS,377,5,bus
TR/C,311,3,truck crane
SDN,290,2,sedan
TOW,163,4,tow truck
SEMI,130,5,semi truck
STAK,104,4,stake truck
MOBL,87,5,mobile home
BOAT,77,4,boat
H/WH,51,4,house on wheels
TANK,50,4,propane tank
MCC,40,1,motorcycle
CUST,35,2,custom car
T/CR,30,4,tractor crane
LIM,21,4,limousine
P-U,16,3,pick up 
SWT,14,3,small wheel truck
TRAV,13,3,snow traveler
LTRL,11,4,light  tractor trailer
FOUR,9,2,4 door car
CMIX,8,5,cement mixer
P/SH,6,4,power shovel
TR/E,6,4,traction engine
POLE,5,5,pole trailer 
S/SP,3,4,fertilizer spreader
TRAI,3,5,trailer
TWOD,2,OMIT,???
W/DR,2,OMIT,??
HWH,1,OMIT,??
HRSE,1,4,horse 
H/TR,1,5,house trailer
FPM,1,OMIT,??
MOPD,1,1,moped
EMVR,1,OMIT,??
TRAL,1,OMIT,??
OL,1,OMIT,??
CX,1,OMIT,??
TT,1,OMIT,??
OM,1,OMIT,??
AM,1,OMIT,??
